Imate li uslugu posluživanja u sobu?;Ali imate sobno strežbo?
Imate li restoran?;Imate restavracijo?
Jesu li obroci ukljuèeni?;So obroki vkljuèeni?
Imate li bazen?;Ali imate bazen?
Gdje je bazen?;Kje je bazen?
Trebamo ruènike za bazen;Potrebujemo brisaèe za bazen
Možete li mi donijeti još jedan jastuk?;Lahko prinesete še eno blazino?
Naša soba nije oèišæena;Naša soba ni bila oèišèena
U sobi nema deka;Soba nima odej
Moram razgovarati s upraviteljem;Govoriti moram z upravnikom
Nema tople vode;Ni tople vode
Ne sviða mi se ova soba;Ta soba mi ni všeè
Tuš ne radi;Prha ne deluje
Treba nam klimatizirana soba;Potrebujemo klimatizirano sobo

Ima li dva kreveta?;Ali ima dve postelji?
